station_id,station_name,date,temperature,region
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-01,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-02,65.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-03,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-04,63.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-05,45.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-06,45.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-07,55.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-08,54.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-09,60.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-10,59.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-11,56.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-12,59.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-13,64.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-14,45.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-15,45.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-16,51.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-17,58.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-18,62.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-19,58.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-20,57.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-21,41.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-22,44.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-23,57.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-24,50.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-25,41.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-26,36.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-27,36.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-28,44.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-01-29,54.0,Region_0
